iso3,Year,gdp_pc,health_spend,infant_mortality
ABW,2000,28104.8954362859,,
ABW,2001,29007.7386958774,,
ABW,2002,28535.4639480222,,
ABW,2003,28525.8077063839,,
ABW,2004,29959.7748189582,,
ABW,2005,29081.7066997897,,
ABW,2006,28885.9118700469,,
ABW,2007,29556.8384686554,,
ABW,2008,29870.6648077005,,
ABW,2009,26204.0597361984,,
ABW,2010,25429.2180974853,,
ABW,2011,26093.0542083227,,
ABW,2012,25444.7336646687,,
ABW,2013,26680.1411206342,,
ABW,2014,26773.8226808518,,
ABW,2015,27458.2201537506,,
ABW,2016,27587.2498040483,,
ABW,2017,28548.8904317739,,
ABW,2018,29419.208623316,,
ABW,2019,29699.1805366222,,
ABW,2020,22729.8897593533,,
ABW,2021,26292.9179363154,,
ABW,2022,29195.2670227422,,
AFE,2000,1205.98105360593,2.07480836325694,86.651975029806
AFE,2001,1216.33535706379,2.03201637394063,84.8470551009121
AFE,2002,1231.4445675519,1.9127310898034,79.9989391499065
AFE,2003,1235.71164842373,2.32584071234405,76.544245836463
AFE,2004,1271.31275711155,2.32944021182086,73.4131344485452
AFE,2005,1314.3879382145,2.27476310472412,67.813314792369
AFE,2006,1364.70525366925,2.47211994090449,64.3502416273654
AFE,2007,1417.47243247841,2.52499109661674,61.4827803410729
AFE,2008,1440.59728407645,2.45238983549063,58.8008638119919
AFE,2009,1414.58775130051,2.74734867247968,56.4823860296468
AFE,2010,1449.48915951845,2.80083539720603,54.9583288336377
AFE,2011,1468.63057193646,2.79462329401432,56.0934207952868
AFE,2012,1456.72281306529,2.73582989870811,51.2375169680413
AFE,2013,1478.97797685759,2.62592123235301,49.206425150315
AFE,2014,1495.95557383523,2.62505263151567,48.867389030785
AFE,2015,1498.8752400759,2.67971494433485,48.2370491089235
AFE,2016,1490.9075460241,2.74208699626195,47.4807789385276
AFE,2017,1490.91109750422,2.73600482718679,47.0022580758801
AFE,2018,1489.94213724372,2.72570294751678,44.463549484202
AFE,2019,1479.37238691603,2.73567553327344,43.3491582121366
AFE,2020,1399.39849841898,3.1387376262421,42.8500928778465
AFE,2021,1425.2090572764,3.08059075645484,44.3212333872642
AFE,2022,1440.43036630175,2.74728133485323,44.3419940282618
AFG,2000,308.318269746638,,110.6
AFG,2001,277.118051443941,,107.5
AFG,2002,338.139973643387,0.08418062,104.3
AFG,2003,346.071627096223,0.65096337,100.8
AFG,2004,338.637273888197,0.54292566,97.4
AFG,2005,363.640141436773,0.5291841,93.8
AFG,2006,367.75831169358,0.49784002,90.3
AFG,2007,410.757728879097,0.55994755,86.8
AFG,2008,417.647282647498,0.62779975,83.4
AFG,2009,488.830652491949,0.53190351,80.1
AFG,2010,542.871030476037,0.46915731,76.9
AFG,2011,525.42698276582,0.47999981,74.0
AFG,2012,568.929021458341,0.34288675,71.2
AFG,2013,580.603833333096,0.44335932,68.6
AFG,2014,575.146245808546,0.47265697,66.2
AFG,2015,565.569730408751,0.52267277,64.0
AFG,2016,563.872336723147,0.60012972,61.9
AFG,2017,562.769574140988,0.64313394,60.1
AFG,2018,553.125151688293,0.55239552,58.3
AFG,2019,557.861533207459,0.49705607,56.6
AFG,2020,527.834554499306,1.18621242,54.9
AFG,2021,408.625855217403,0.71036398,53.2
AFG,2022,377.665627080705,0.18147056,51.6
AFW,2000,1188.0373057001,0.696879546604546,92.0775915872463
AFW,2001,1215.84949075792,0.855214577100921,89.256030951424
AFW,2002,1299.69542056655,0.684064616676621,86.320157923051
AFW,2003,1334.72594265973,0.917051106044699,83.4686027504521
AFW,2004,1402.22876764658,1.07706997872024,80.6627551444494
AFW,2005,1441.98859440003,1.05319387761381,78.0044872809646
AFW,2006,1475.92318265943,0.938377083734918,75.6044418186699
AFW,2007,1513.01942969263,0.847815736038644,73.3693796154434
AFW,2008,1562.21124621273,0.767015141772623,71.3255924562018
AFW,2009,1612.48837316067,0.767048467529496,71.6591954131986
AFW,2010,1677.95238312056,0.684518900204214,68.0235061080067
AFW,2011,1711.53923110365,0.706785950634921,66.4327214131134
AFW,2012,1749.98138710355,0.72308299560876,65.0950697267466
AFW,2013,1805.79842409374,0.72077625645611,64.0389873868971
AFW,2014,1857.17116320705,0.651210902547373,63.4187251491131
AFW,2015,1860.72768628324,0.742713444156151,62.2249762468944
AFW,2016,1815.17120349953,0.721870677963045,61.5484879851734
AFW,2017,1808.72220111739,0.799872170682834,61.089851563164
AFW,2018,1814.69463581898,0.744825549457975,60.3832231751609
AFW,2019,1829.06806387649,0.727961933468943,60.6359506778456
AFW,2020,1719.26150438049,0.902921014711324,59.3217984756743
AFW,2021,1721.90947456022,0.909341818849809,59.1325922035608
AFW,2022,1757.45658962159,0.916696263397926,60.0961055630681
AGO,2000,2172.46326720494,0.98097837,108.3
AGO,2001,2189.17352158246,1.80684185,103.8
AGO,2002,2404.97792071531,1.15548134,98.4
AGO,2003,2403.40415157038,1.28335834,92.5
AGO,2004,2583.32411461288,1.4713583,85.8
AGO,2005,2843.3966357968,1.14204562,78.9
AGO,2006,3065.05576243895,1.28968012,72.2
AGO,2007,3336.36332465208,1.53876388,66.0
AGO,2008,3559.19522512236,1.91652381,60.3
AGO,2009,3494.80724466172,2.23769045,55.4
AGO,2010,3540.79159568381,1.46826649,51.1
AGO,2011,3528.16824373399,1.52542961,47.6
AGO,2012,3682.35229322763,1.39434171,44.6
AGO,2013,3716.29718727282,1.5071826,42.2
AGO,2014,3746.81619978613,1.16797769,40.3
AGO,2015,3641.72893919944,1.08924341,38.8
AGO,2016,3454.03317187119,1.05520773,37.6
AGO,2017,3328.8982124109,1.12824702,36.7
AGO,2018,3196.79006983557,0.97981894,36.0
AGO,2019,3083.97534427357,1.00303984,35.5
AGO,2020,2864.16146036893,1.46055436,34.9
AGO,2021,2832.81777132286,1.51676536,34.4
AGO,2022,2860.90251922246,1.30711842,33.7
ALB,2000,1991.91435867116,2.73330545,17.8
ALB,2001,2188.91854451375,2.72089767,17.0
ALB,2002,2297.10853513924,2.55822611,16.1
ALB,2003,2428.68934653563,2.63895035,15.2
ALB,2004,2567.29763687121,2.7876544,14.4
ALB,2005,2712.86983830331,2.65562892,13.5
ALB,2006,2894.36032580174,2.60609818,12.7
ALB,2007,3105.8796756386,2.71601963,11.9
ALB,2008,3345.98161761476,2.27345061,11.1
ALB,2009,3459.24695646692,2.33076763,10.3
ALB,2010,3579.82413181046,2.35073113,9.6
ALB,2011,3677.89457937717,2.36980104,9.0
ALB,2012,3771.84781862015,2.42631125,8.5
ALB,2013,3895.89975621942,2.54741931,8.0
ALB,2014,4045.11934884933,2.56312561,7.8
ALB,2015,4199.53912925398,2.67593837,7.6
ALB,2016,4431.55635814168,2.84762025,7.6
ALB,2017,4648.23078660658,2.74185801,7.7
ALB,2018,4893.82375538717,2.84073949,7.8
ALB,2019,5072.43648354739,2.89433575,8.0
ALB,2020,4980.61699524696,2.97455955,8.1
ALB,2021,5511.75743402862,2.91998744,8.3
ALB,2022,5867.65096230557,3.72758842,8.3
AND,2000,34113.8334027285,3.88115096,6.6
AND,2001,36790.1209900717,3.82370234,6.3
AND,2002,38084.5022003398,3.97611761,6.1
AND,2003,39620.3387714274,3.54889631,5.8
AND,2004,40054.3399679173,3.27483177,5.6
AND,2005,40528.1938997392,3.58344364,5.3
AND,2006,41322.0723316534,2.96214485,5.1
AND,2007,40789.1781297264,2.95692062,4.9
AND,2008,37775.1438845998,3.70078373,4.6
AND,2009,35604.4007343193,4.13392305,4.4
AND,2010,36277.2814831059,5.68869781,4.2
AND,2011,37637.5045137987,5.60742188,4.0
AND,2012,36206.9954432018,4.67067814,3.9
AND,2013,35684.1861967511,4.76766396,3.7
AND,2014,37300.6419409868,4.8130722,3.5
AND,2015,38654.95287916,4.97208548,3.3
AND,2016,40085.0394278177,5.00518513,3.2
AND,2017,39361.0807539996,5.08694077,3.1
AND,2018,39242.1633307803,5.21907949,3.0
AND,2019,39346.2935180487,5.22278023,2.9
AND,2020,34536.666145207,6.37670708,2.8
AND,2021,36929.0364995869,6.16799164,2.7
AND,2022,39780.4152991834,5.53698158,2.6
ARB,2000,4910.08259157072,2.14651230852434,47.0749733255125
ARB,2001,4892.98855329169,2.38297937559091,45.7131614167482
ARB,2002,4835.589416667,2.34562400394402,44.3958801989057
ARB,2003,4926.58928334869,2.23288022552367,43.037758346618
ARB,2004,5250.08375247516,2.08578923606675,42.4049242049687
ARB,2005,5412.64941314351,1.9583629549158,41.1591664513718
ARB,2006,5614.91183040313,1.9611474011102,39.1770698336258
ARB,2007,5727.33322290223,2.00831798788004,37.7822755398026
