Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Afghanistan,AFG,..,..,0.08418062,0.65096337,0.54292566,0.5291841,0.49784002,0.55994755,0.62779975,0.53190351,0.46915731,0.47999981,0.34288675,0.44335932,0.47265697,0.52267277,0.60012972,0.64313394,0.55239552,0.49705607,1.18621242,0.71036398,0.18147056
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Albania,ALB,2.73330545,2.72089767,2.55822611,2.63895035,2.7876544,2.65562892,2.60609818,2.71601963,2.27345061,2.33076763,2.35073113,2.36980104,2.42631125,2.54741931,2.56312561,2.67593837,2.84762025,2.74185801,2.84073949,2.89433575,2.97455955,2.91998744,3.72758842
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Algeria,DZA,2.31351972,2.69560528,2.59086323,2.55061412,2.3477478,2.16108608,2.18395877,2.52639246,2.86780095,3.4677248,3.22398353,3.40776706,4.02772284,3.91591859,4.21865416,4.33925533,3.94321752,3.84453487,3.84471345,3.27598047,3.31185937,2.87333918,1.71663105
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Andorra,AND,3.88115096,3.82370234,3.97611761,3.54889631,3.27483177,3.58344364,2.96214485,2.95692062,3.70078373,4.13392305,5.68869781,5.60742188,4.67067814,4.76766396,4.8130722,4.97208548,5.00518513,5.08694077,5.21907949,5.22278023,6.37670708,6.16799164,5.53698158
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Angola,AGO,0.98097837,1.80684185,1.15548134,1.28335834,1.4713583,1.14204562,1.28968012,1.53876388,1.91652381,2.23769045,1.46826649,1.52542961,1.39434171,1.5071826,1.16797769,1.08924341,1.05520773,1.12824702,0.97981894,1.00303984,1.46055436,1.51676536,1.30711842
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Antigua and Barbuda,ATG,2.50122428,2.92959142,2.80217075,3.01983333,2.6607554,2.48221588,2.17760348,2.01404786,1.87520587,2.03098321,2.77452183,2.73921561,2.71204996,2.75379777,3.14859223,2.93535352,2.75887132,2.61894512,2.81542587,2.49952674,3.58067584,3.06314707,2.85039449
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Argentina,ARG,4.49895144,4.4767065,3.87838697,3.76298237,3.43900657,3.93187881,4.04397869,4.24544716,4.47786331,5.74631262,5.56987906,5.71961212,6.14357281,6.2950058,6.40571356,6.80309105,6.5777607,6.68290806,6.11101341,6.2193737,6.99057627,6.34810066,5.95705795
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Armenia,ARM,0.95468217,1.33908558,1.17184055,1.20635736,1.29411483,1.47841108,1.58640754,1.61389112,1.48813355,1.81169069,1.68628836,1.6728667,1.57816982,1.37565804,1.50548005,1.61020839,1.63735199,1.37250984,1.23468125,1.41167367,2.35673714,2.18868065,1.71535587
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Australia,AUS,5.45143652,5.45680571,5.66308641,5.61926126,5.79416561,5.72175741,5.71296024,5.8701992,5.96531916,6.23710108,6.0919981,6.2522192,6.17619228,5.92386961,6.89110136,7.2235322,7.20443821,7.23039198,7.19087696,7.53765869,7.85286617,7.93791485,7.34881544
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Austria,AUT,6.86705208,6.86088991,6.95735025,7.01927948,7.05908728,7.05110073,7.01176453,6.98812008,7.23871469,7.50799561,7.45021629,7.34409189,7.49027205,7.49345398,7.59864187,7.5736208,7.54772329,7.71547127,7.75579357,7.88670015,8.71023846,9.46212482,8.65631485
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Azerbaijan,AZE,0.86689276,0.80511665,0.73890811,0.7737512,0.86166471,0.89067221,0.8678329,0.90984386,0.86519617,1.13348269,1.01347423,0.94998968,1.11568439,1.06625199,1.13015568,1.30528009,1.16546094,1.00444698,0.88865483,1.06925082,2.32817769,1.48136711,0.95312107
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,"Bahamas, The",BHS,1.50591624,1.56618142,1.50943291,1.62846565,1.611678,1.58765554,1.65727472,1.80025303,2.08452892,2.34723687,2.36928177,2.37497997,2.31367421,2.59359813,2.53589177,2.32609415,2.71795917,3.57633185,2.79429245,2.87397003,4.37366199,3.51553249,3.99245048
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bahrain,BHR,2.27505612,2.39680648,2.5144496,2.45939231,2.25912499,2.18422818,2.06908512,2.03086805,2.00388288,2.74579287,2.55753851,2.42909908,2.58166146,2.70170784,2.75321245,3.08921409,2.8373127,2.44733834,2.31990647,2.20524931,2.86910701,2.75866771,2.37968802
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bangladesh,BGD,0.50841981,0.38396508,0.47014153,0.48277113,0.48091501,0.45040676,0.47882023,0.48857561,0.44322866,0.43522108,0.47062662,0.4823136,0.46968287,0.4372614,0.4220427,0.38844827,0.4755646,0.50250494,0.48568422,0.36105901,0.35576752,0.38806468,0.34193528
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Barbados,BRB,2.5543673,2.71995711,2.89702082,3.47478461,3.98423481,3.51634121,3.32250285,2.92400503,3.17477036,3.4388876,3.18992829,2.93728137,3.79151535,3.33373475,2.87362003,2.84907889,2.85200191,2.7041471,2.65220022,2.54682422,3.32207417,4.04128695,2.6457088
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Belarus,BLR,4.15422821,4.25791645,4.07934141,4.38554096,4.39936543,4.52236795,3.9855392,3.99474669,3.48282266,3.48038435,3.84921932,3.08841538,3.44369793,3.56868172,3.37288022,3.68674207,4.19298792,3.98054695,3.9000001,4.12526941,4.54088545,4.87342072,4.44357491
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Belgium,BEL,5.96185923,6.13948441,6.13245678,6.78976488,6.99315739,6.8955164,6.80566692,6.77384472,7.26614666,7.84423971,7.7745738,7.83494329,7.99403429,7.99912691,8.03469563,8.26822186,8.31613922,8.3176775,8.32855988,8.08414745,8.72537518,8.49062634,7.9360981
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Belize,BLZ,1.35279799,1.76350856,1.82957494,1.75257611,1.7102828,1.78223765,1.97383273,2.37503958,2.91308498,2.89427853,2.97982311,2.98816276,2.86571932,2.92492223,3.03495717,3.17137766,3.35043669,3.2159059,3.27672195,3.31428432,3.79881597,3.51546001,2.61415029
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Benin,BEN,1.13417935,1.20063126,0.93714452,1.05233788,1.15381396,1.04785359,1.06306994,0.95481884,0.74250972,0.86784607,0.7522946,0.65150005,0.74686456,0.76463026,0.57532531,0.59082586,0.71389222,0.70637327,0.66673458,0.45625761,0.51122105,0.33374113,0.50720674
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bhutan,BTN,3.29712725,3.29277039,3.09706593,2.65240765,2.81644845,2.44967246,2.28304935,2.47752094,2.17638206,2.43460202,2.3471601,2.21770048,2.26811028,2.3066659,2.23058915,2.55167842,2.42386007,2.31912565,2.44134831,2.4829967,3.18623781,2.31712747,2.13837457
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bolivia,BOL,2.43201661,2.61401916,2.60214591,2.75486469,2.53551769,2.7536962,2.61106277,2.7755425,2.70188808,3.15830708,3.05729318,3.02061009,2.9963541,3.26242685,3.69240737,4.30645275,4.4294467,4.44758177,4.79799795,4.89661789,5.80238628,5.88253403,4.61549664
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bosnia and Herzegovina,BIH,4.07377338,4.31801033,4.4219141,5.47854805,5.16201019,4.81401253,4.84716463,5.12106037,5.28242588,6.13346386,6.13426924,6.20625067,6.50727367,6.57830858,6.66444492,6.39630365,6.47960949,6.18360281,6.1210475,6.13385725,6.75351286,6.52639914,5.73453379
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Botswana,BWA,3.2540555,3.50531387,3.76324773,3.60058308,3.4343946,2.86616707,2.79110265,3.12948751,3.66806316,3.41018438,3.60705996,3.60456705,4.09601831,4.15482092,3.99039125,4.13518047,3.83726597,5.01613283,4.14253378,4.37294102,4.48994827,4.82830048,4.30745316
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Brazil,BRA,3.47014546,3.51298475,3.6863513,3.50954437,3.46692538,3.34525418,3.54130626,3.48462701,3.50441861,3.70742011,3.57701325,3.46567941,3.35463309,3.55113959,3.69886327,3.85396719,3.94799495,3.95315194,3.88924217,3.91702151,4.17190552,4.30673981,4.25969172
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
